Status,Country,Which higher education institution do you or did you study at?,What is your current year of study as of 2025?,What will be your highest qualification when you graduate?,Which of the following best describes the main subject that you are studying?,Please indicate your nationality.,What is your gender?,Which of these statements best describes your current perception of the organisation as an employer?,Types of roles available:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Career progression and development:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Compensation and benefits:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Work-life balance and culture:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Application and interview process:What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3),Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  .1,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?",Which of these factors would most motivate you to apply for a position at the organisation?,target,survey_duration_minutes,hour_started,is_weekend,is_business_hours,is_mobile,is_singapore,zero_duration,likely_timeout,reached_demographics,reached_perception,reached_interests,reached_attractiveness,reached_motivation,inst_grouped,subj_grouped,gender_fixed
Partial,United States,National University of Singapore (NUS),Year 4,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,,,,,,,,,,,1,0.65,15,0,1,1,0,0,0,1,0,0,0,0,Autonomous,Business/Management,Female
Complete,Singapore,Nanyang Technological University (NTU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,,Application and interview process,,,8.0,Meaningful work impact,0,1.7833333333333334,15,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Arts/Social Sciences,Female
Partial,United States,,,,,,,,,,,,,,,,,1,0.0,15,0,1,1,0,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,17,0,1,0,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,18,0,1,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Engineering (Electrical/Electronics, Mechanical, Civil, Chemical, Industrial Engineering, etc.)",Singaporean/Singapore PR,Male,,,,,,,,,,,1,1.45,19,0,0,0,1,0,0,1,0,0,0,0,Autonomous,STEM,Male
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,13,0,1,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Complete,Singapore,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,6.0,Meaningful work impact,0,264.51666666666665,13,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Partial,Singapore,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,,,,,,,,,,,1,233.01666666666668,13,0,1,1,1,0,1,1,0,0,0,0,Autonomous,Business/Management,Male
Partial,Singapore,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,,,,,,,,,,,1,0.3333333333333333,14,0,1,0,1,0,0,1,0,0,0,0,Autonomous,Business/Management,Female
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,15,0,1,0,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Complete,Singapore,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,7.0,Career growth opportunities,0,0.9666666666666667,15,0,1,0,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.1,15,0,1,0,1,0,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,17,0,1,0,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Complete,Singapore,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,Psychology,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,5.0,Meaningful work impact,0,59838.13333333333,0,0,0,0,1,0,0,1,1,1,1,1,Autonomous,Arts/Social Sciences,Female
Complete,Singapore,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,Compensation and benefits,,,,,8.0,Meaningful work impact,0,2.4166666666666665,14,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Complete,Singapore,Singapore Management University (SMU),Year 2,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,10.0,Career growth opportunities,0,1.4666666666666666,14,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Arts/Social Sciences,Female
Complete,Singapore,Singapore Management University (SMU),Year 2,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,5.0,Meaningful work impact,0,1456.4666666666667,14,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Arts/Social Sciences,Female
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,14,0,1,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Partial,Singapore,,,,,,,,,,,,,,,,,1,0.0,14,0,1,1,1,1,0,0,0,0,0,0,Not Reached,Not Reached,Not Reached
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,3.0,Work-life balance,0,0.95,14,0,1,1,1,0,0,1,1,1,1,1,Autonomous,STEM,Male
Complete,Singapore,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,Work-life balance and culture,,,,7.0,Meaningful work impact,0,87.96666666666667,14,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Female
Complete,Singapore,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,,Application and interview process,,,7.0,Meaningful work impact,0,1.5166666666666666,14,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Business/Management,Male
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m not familiar enough with the organisation to form a solid opinion,,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,7.0,Meaningful work impact,0,39111.73333333333,15,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Arts/Social Sciences,Female
Complete,United States,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,,,Compensation and benefits,Work-life balance and culture,Application and interview process,,,9.0,Compensation package,0,2.283333333333333,15,0,1,1,0,0,0,1,1,1,1,1,Autonomous,Arts/Social Sciences,Female
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,Work-life balance and culture,,,,8.0,Career growth opportunities,0,0.85,15,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Arts/Social Sciences,Male
Complete,Singapore,Singapore Management University (SMU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Male,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,Compensation and benefits,,,,,8.0,Career growth opportunities,0,1.9833333333333334,15,0,1,1,1,0,0,1,1,1,1,1,Autonomous,Arts/Social Sciences,Male
