Response ID,Time Started,Date Submitted,Status,Language,SessionID,User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Which higher education institution do you or did you study at?,What is your current year of study as of 2025?,What will be your highest qualification when you graduate?,Which of the following best describes the main subject that you are studying? ,Please indicate your nationality.,What is your gender?,Which of these statements best describes your current perception of the organisation as an employer?,Types of roles available:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Career progression and development:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Compensation and benefits:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Work-life balance and culture:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Application and interview process:What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  ,Other - Write In (Required):What do you wish to learn more about regarding the organisation as an employer? (Pick 3)  .1,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?   ",Which of these factors would most motivate you to apply for a position at the organisation?  ,Other - Write In (Required):Which of these factors would most motivate you to apply for a position at the organisation?  ,awareness_score,motivation_category,attractiveness_rating,awareness_normalized,attractiveness_normalized,composite_intent_score,cluster
22,2025-09-03 15:25:18,2025-09-03 15:27:05,Complete,English,1756884314_68b7ed5a14f861.00788803,"Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.7258.143 Mobile Safari/537.36",,119.234.8.156,103.83930206299,1.2997000217438,Singapore,Singapore,0,23,Nanyang Technological University (NTU),Year 4,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,,Application and interview process,,,8,Meaningful work impact,,4,Values-oriented,8,1.0,0.7777777777777778,0.8888888888888888,2
28,2025-09-04 13:25:41,2025-09-04 17:50:12,Complete,English,1756963535_68b922cf5c7389.80337330,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,210.10.4.166,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,6,Meaningful work impact,,2,Values-oriented,6,0.3333333333333333,0.5555555555555556,0.4444444444444444,3
32,2025-09-04 15:18:25,2025-09-04 15:19:23,Complete,English,1756970303_68b93d3f80e649.57809745,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",,155.69.192.67,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Nanyang Technological University (NTU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,7,Career growth opportunities,,3,Growth-oriented,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
35,2025-09-05 00:38:26,2025-10-16 13:56:34,Complete,English,1757003900_68b9c07ce85fc0.71614211,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15",,155.69.180.10,103.64980316162,1.3154000043869,Singapore,Tuas,0,63,Nanyang Technological University (NTU),Year 2,Bachelor's Degree,Psychology,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,5,Meaningful work impact,,3,Values-oriented,5,0.6666666666666666,0.4444444444444444,0.5555555555555556,1
36,2025-09-05 14:34:27,2025-09-05 14:36:52,Complete,English,1757054064_68ba84705ba808.74998630,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,117.20.154.60,103.74729919434,1.3849999904633,Singapore,Singapore,0,68,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,"I recognise the organisation by name, but don’t have a clear impression of them",Types of roles available,Career progression and development,Compensation and benefits,,,,,8,Meaningful work impact,,2,Values-oriented,8,0.3333333333333333,0.7777777777777778,0.5555555555555556,3
39,2025-09-05 14:41:45,2025-09-05 14:43:13,Complete,English,1757054495_68ba861f044d13.26814099,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36",,202.161.35.28,103.8637008667,1.3595999479294,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 2,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,Compensation and benefits,,,,,10,Career growth opportunities,,3,Growth-oriented,10,0.6666666666666666,1.0,0.8333333333333333,2
40,2025-09-05 14:41:58,2025-09-06 14:58:26,Complete,English,1757054508_68ba862cca4442.72035803,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3.1 Mobile/15E148 Safari/604.1",,119.56.106.197,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 2,Bachelor's Degree,Economics,Singaporean/Singapore PR,Female,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,,Compensation and benefits,Work-life balance and culture,,,,5,Meaningful work impact,,3,Values-oriented,5,0.6666666666666666,0.4444444444444444,0.5555555555555556,1
45,2025-09-05 14:51:11,2025-09-05 14:52:08,Complete,English,1757055067_68ba885be36913.67354303,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",,122.11.248.245,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 4,Bachelor's Degree,IT and Technology,Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",,Career progression and development,Compensation and benefits,Work-life balance and culture,,,,3,Work-life balance,,3,Values-oriented,3,0.6666666666666666,0.2222222222222222,0.4444444444444444,1
46,2025-09-05 14:53:28,2025-09-05 16:21:26,Complete,English,1757055204_68ba88e43373c4.01280279,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.6 Mobile/15E148 Safari/604.1",,202.161.35.15,103.8637008667,1.3595999479294,Singapore,Singapore,0,55,Singapore Management University (SMU),Year 2,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Female,I’m familiar with the organisation and would consider them as a potential employer,Types of roles available,Career progression and development,,Work-life balance and culture,,,,7,Meaningful work impact,,4,Values-oriented,7,1.0,0.6666666666666666,0.8333333333333333,2
48,2025-09-05 14:56:14,2025-09-05 14:57:45,Complete,English,1757055370_68ba898a59c335.18410574,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Mobile Safari/537.36",,119.234.52.100,103.85540008545,1.3035999536514,Singapore,Singapore,0,18,Singapore Management University (SMU),Year 3,Bachelor's Degree,"Business/Management (Accounting, Finance, Marketing, Management, etc.)",Singaporean/Singapore PR,Male,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer",Types of roles available,Career progression and development,,,Application and interview process,,,7,Meaningful work impact,,3,Values-oriented,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,1
